targetTaxonName,sourceTaxonName,interaction_pair_fraction,decimalLatitude,decimalLongitude
Lebiasinidae,Egretta thula,5.252994732296882e-07,7.0,-69.0
Curimata,Egretta thula,5.252994732296882e-07,7.0,-69.0
Cichlidae,Egretta thula,1.0505989464593764e-06,7.0,-69.0
Arthropoda,Egretta thula,2.6264973661484414e-06,7.0,-69.0
Hymenoptera,Tyrannus melancholicus,5.252994732296882e-07,14.81667,-61.18333333
Orthoptera,Tyrannus melancholicus,5.252994732296882e-07,14.81667,-61.18333333
Lepidoptera,Tyrannus melancholicus,5.252994732296882e-07,14.81667,-61.18333333
Odonata,Tyrannus melancholicus,5.252994732296882e-07,14.81667,-61.18333333
Coleoptera,Tyrannus melancholicus,5.252994732296882e-07,14.81667,-61.18333333
Arthropoda,Phaethon lepturus,1.0505989464593764e-06,-4.25,-55.666667
Euleptorhamphus viridis,Phaethon lepturus,1.0505989464593764e-06,-4.25,-55.666667
Coryphaena equiselis,Phaethon lepturus,1.0505989464593764e-06,-4.25,-55.666667
Syngnathidae,Phaethon lepturus,1.0505989464593764e-06,-4.25,-55.666667
Parexocoetus,Anous stolidus,1.0505989464593764e-06,-4.25,-55.666667
Pterocaesio,Phaethon lepturus,1.0505989464593764e-06,-4.25,-55.666667
Hirundichthys speculiger,Anous stolidus,1.0505989464593764e-06,-4.25,-55.666667
Belonidae,Phaethon lepturus,1.0505989464593764e-06,-4.25,-55.666667
Teleostei,Phaethon lepturus,2.1011978929187528e-06,-4.25,-55.666667
Coryphaena,Onychoprion fuscatus,1.5758984196890648e-06,-4.25,-55.666667
Caesio caerulaurea,Phaethon lepturus,1.0505989464593764e-06,-4.25,-55.666667
Arthropoda,Anous stolidus,1.0505989464593764e-06,-4.25,-55.666667
Decapterus macrosoma,Phaethon lepturus,1.0505989464593764e-06,-4.25,-55.666667
Belonidae,Onychoprion fuscatus,1.0505989464593764e-06,-4.25,-55.666667
Mullidae,Phaethon lepturus,1.0505989464593764e-06,-4.25,-55.666667
Sardinella,Onychoprion fuscatus,1.0505989464593764e-06,-4.25,-55.666667
Teuthida,Ardenna pacifica,1.0505989464593764e-06,-4.25,-55.666667
Hirundichthys speculiger,Onychoprion fuscatus,1.0505989464593764e-06,-4.25,-55.666667
Oxyporhamphus micropterus,Anous stolidus,1.0505989464593764e-06,-4.25,-55.666667
Exocoetus monocirrhus,Anous stolidus,5.252994732296882e-07,-4.25,-55.666667
Exocoetus,Phaethon lepturus,1.0505989464593764e-06,-4.25,-55.666667
Teleostei,Anous stolidus,2.1011978929187528e-06,-4.25,-55.666667
Engraulidae,Onychoprion fuscatus,1.0505989464593764e-06,-4.25,-55.666667
Dipterygonotus balteatus,Phaethon lepturus,1.0505989464593764e-06,-4.25,-55.666667
Coryphaena hippurus,Phaethon lepturus,1.0505989464593764e-06,-4.25,-55.666667
Dipterygonotus balteatus,Ardenna pacifica,1.0505989464593764e-06,-4.25,-55.666667
Coryphaena,Sterna dougallii,5.252994732296882e-07,-4.25,-55.666667
Mulloidichthys flavolineatus,Ardenna pacifica,5.252994732296882e-07,-4.25,-55.666667
Balistidae,Phaethon lepturus,1.0505989464593764e-06,-4.25,-55.666667
Engraulidae,Gygis alba,1.0505989464593764e-06,-4.25,-55.666667
Hemiramphidae,Onychoprion fuscatus,1.0505989464593764e-06,-4.25,-55.666667
Clupeidae,Ardenna pacifica,1.0505989464593764e-06,-4.25,-55.666667
Teuthida,Phaethon lepturus,1.5758984196890648e-06,-4.25,-55.666667
Hemiramphidae,Sterna dougallii,1.0505989464593764e-06,-4.25,-55.666667
Teuthida,Onychoprion fuscatus,1.5758984196890648e-06,-4.25,-55.666667
