sourceTaxonName,sourceTaxonRank,sourceTaxonSpeciesName,interactionTypeName,targetTaxonName,targetTaxonRank,targetTaxonSpeciesName,decimalLatitude,decimalLongitude,localityId,localityName,interaction_pair,interaction_pair_fraction,patch_name
Falco deiroleucus,species,Falco deiroleucus,eats,Brotogeris versicolurus,species,Brotogeris versicolurus,-4.2642411916,-69.919807051,,,Brotogeris versicolurus_Falco deiroleucus,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Bothriospora corymbosa,species,Bothriospora corymbosa,-1.1451111,-69.487222,Apaporis,Colombia,Bothriospora corymbosa_Brycon falcatus,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Psychotria lupulina,species,Psychotria lupulina,-1.1451111,-69.487222,Apaporis,Colombia,Myloplus torquatus_Psychotria lupulina,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Strychnos panurensis,species,Strychnos panurensis,-1.275555,-69.73055,Caqueta,Colombia,Brycon melanopterus_Strychnos panurensis,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Apeiba membranacea,species,Apeiba membranacea,-1.275555,-69.73055,Caqueta,Colombia,Apeiba membranacea_Myloplus torquatus,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Stachyarrhena penduliflora,species,Stachyarrhena penduliflora,-1.275555,-69.73055,Caqueta,Colombia,Brycon melanopterus_Stachyarrhena penduliflora,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Trichilia rubra,species,Trichilia rubra,-1.1451111,-69.487222,Apaporis,Colombia,Myloplus torquatus_Trichilia rubra,5.252994732296882e-07,Patch_-5_0_-72_-68
Mylossoma duriventris,species,Mylossoma duriventris,eats,Amaioua guianensis,species,Amaioua guianensis,-1.275555,-69.73055,Caqueta,Colombia,Amaioua guianensis_Mylossoma duriventris,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Miconia truncata,species,Miconia truncata,-1.1451111,-69.487222,Apaporis,Colombia,Brycon falcatus_Miconia truncata,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus asterias,species,Myloplus asterias,eats,Ficus americana,species,Ficus americana,-1.1451111,-69.487222,Apaporis,Colombia,Ficus americana_Myloplus asterias,1.0505989464593764e-06,Patch_-5_0_-72_-68
